Date;S&P 500 Open;S&P 500 High;S&P 500 Low;S&P 500 Close*;S&P 500 Volume
Jul 08 2022;3888.26;3918.50;3869.34;3899.38;2844620000
Jul 07 2022;3858.85;3910.63;3858.85;3902.62;3337710000
Jul 06 2022;3831.98;3870.91;3809.37;3845.08;3613120000
Jul 05 2022;3792.61;3832.19;3742.06;3831.39;4427900000
Jul 01 2022;3781.00;3829.82;3752.10;3825.33;3268240000
Jun 30 2022;3785.99;3818.99;3738.67;3785.38;4032260000
Jun 29 2022;3825.09;3836.50;3799.02;3818.83;3458850000
Jun 28 2022;3913.00;3945.86;3820.14;3821.55;3590980000
Jun 27 2022;3920.76;3927.72;3889.66;3900.11;3385120000
Jun 24 2022;3821.75;3913.65;3821.75;3911.74;6742870000
Jun 23 2022;3774.71;3802.58;3743.52;3795.73;4078100000
Jun 22 2022;3733.89;3801.79;3717.69;3759.89;4342270000
Jun 21 2022;3715.31;3779.65;3715.31;3764.79;4124600000
Jun 17 2022;3665.90;3707.71;3636.87;3674.84;6954110000
Jun 16 2022;3728.18;3728.18;3639.77;3666.77;4511200000
Jun 15 2022;3764.05;3837.56;3722.30;3789.99;4474610000
Jun 14 2022;3763.52;3778.18;3705.68;3735.48;4126400000
Jun 13 2022;3838.15;3838.15;3734.30;3749.63;4572820000
Jun 10 2022;3974.39;3974.39;3900.16;3900.86;3936120000
Jun 09 2022;4101.65;4119.10;4017.17;4017.82;3192330000
Jun 08 2022;4147.12;4160.14;4107.20;4115.77;3090180000
Jun 07 2022;4096.47;4164.86;4080.19;4160.68;3476470000
Jun 06 2022;4134.72;4168.78;4109.18;4121.43;3852050000
Jun 03 2022;4137.57;4142.67;4098.67;4108.54;3107080000
Jun 02 2022;4095.41;4177.51;4074.37;4176.82;3604930000
Jun 01 2022;4149.78;4166.54;4073.85;4101.23;4145710000
May 31 2022;4151.09;4168.34;4104.88;4132.15;5192220000
May 27 2022;4077.43;4158.49;4077.43;4158.24;3560560000
May 26 2022;3984.60;4075.14;3984.60;4057.84;3961940000
May 25 2022;3929.59;3999.33;3925.03;3978.73;4322190000
May 24 2022;3942.94;3955.68;3875.13;3941.48;3901640000
May 23 2022;3919.42;3981.88;3909.04;3973.75;3392770000
May 20 2022;3927.76;3943.42;3810.32;3901.36;4278520000
May 19 2022;3899.00;3945.96;3876.58;3900.79;4212140000
May 18 2022;4051.98;4051.98;3911.91;3923.68;4428960000
May 17 2022;4052.00;4090.72;4033.93;4088.85;3846580000
May 16 2022;4013.02;4046.46;3983.99;4008.01;3824320000
May 13 2022;3963.90;4038.88;3963.90;4023.89;4142950000
May 12 2022;3903.95;3964.80;3858.87;3930.08;4964130000
May 11 2022;3990.08;4049.09;3928.82;3935.18;4683220000
May 10 2022;4035.18;4068.82;3958.17;4001.05;4630150000
May 09 2022;4081.27;4081.27;3975.48;3991.24;4746120000
May 06 2022;4128.17;4157.69;4067.91;4123.34;4254300000
May 05 2022;4270.43;4270.43;4106.01;4146.87;4197620000
May 04 2022;4181.18;4307.66;4148.91;4300.17;4236210000
May 03 2022;4159.78;4200.10;4147.08;4175.48;3877530000
May 02 2022;4130.61;4169.81;4062.51;4155.38;4474060000
Apr 29 2022;4253.75;4269.68;4124.28;4131.93;3943480000
Apr 28 2022;4222.58;4308.45;4188.63;4287.50;3969440000
Apr 27 2022;4186.52;4240.71;4162.90;4183.96;3876340000
Apr 26 2022;4278.14;4278.14;4175.04;4175.20;3760420000
Apr 25 2022;4255.34;4299.02;4200.82;4296.12;4061070000
Apr 22 2022;4385.83;4385.83;4267.62;4271.78;3930660000
Apr 21 2022;4489.17;4512.94;4384.47;4393.66;3833570000
Apr 20 2022;4472.26;4488.29;4448.76;4459.45;3678040000
Apr 19 2022;4390.63;4471.03;4390.63;4462.21;3197930000
Apr 18 2022;4385.63;4410.31;4370.30;4391.69;3509340000
Apr 14 2022;4449.12;4460.46;4390.77;4392.59;3634740000
Apr 13 2022;4394.30;4453.92;4392.70;4446.59;3273140000
Apr 12 2022;4437.59;4471.00;4381.34;4397.45;3451990000
Apr 11 2022;4462.64;4464.35;4408.38;4412.53;3452540000
Apr 08 2022;4494.15;4520.41;4474.60;4488.28;3453040000
Apr 07 2022;4474.65;4521.16;4450.30;4500.21;4054010000
Apr 06 2022;4494.17;4503.94;4450.04;4481.15;4137080000
Apr 05 2022;4572.45;4593.45;4514.17;4525.12;3906230000
Apr 04 2022;4547.97;4583.50;4539.21;4582.64;3833500000
Apr 01 2022;4540.32;4548.70;4507.57;4545.86;3828290000
Mar 31 2022;4599.02;4603.07;4530.41;4530.41;3782040000
Mar 30 2022;4624.20;4627.77;4581.32;4602.45;3665390000
Mar 29 2022;4602.86;4637.30;4589.66;4631.60;4239660000
Mar 28 2022;4541.09;4575.65;4517.69;4575.52;3696850000
Mar 25 2022;4522.91;4546.03;4501.07;4543.06;3577520000
Mar 24 2022;4469.98;4520.58;4465.17;4520.16;3573430000
Mar 23 2022;4493.10;4501.07;4455.81;4456.24;4014360000
Mar 22 2022;4469.10;4522.00;4469.10;4511.61;3962880000
Mar 21 2022;4462.40;4481.75;4424.30;4461.18;3961050000
Mar 18 2022;4407.34;4465.40;4390.57;4463.12;6681510000
Mar 17 2022;4345.11;4412.67;4335.65;4411.67;4174170000
Mar 16 2022;4288.14;4358.90;4251.99;4357.86;5002240000
Mar 15 2022;4188.82;4271.05;4187.90;4262.45;4331170000
Mar 14 2022;4202.75;4247.57;4161.72;4173.11;4757600000
Mar 11 2022;4279.50;4291.01;4200.49;4204.31;3877430000
Mar 10 2022;4252.55;4268.28;4209.80;4259.52;4008690000
Mar 09 2022;4223.10;4299.40;4223.10;4277.88;4220180000
Mar 08 2022;4202.66;4276.94;4157.87;4170.70;6237000000
Mar 07 2022;4327.01;4327.01;4199.85;4201.09;5506330000
Mar 04 2022;4342.12;4342.12;4284.98;4328.87;4558250000
Mar 03 2022;4401.31;4416.78;4345.56;4363.49;4062080000
Mar 02 2022;4322.56;4401.48;4322.56;4386.54;4409090000
